user,site,scheme,event,timeDelta
bpt409,wvacation,unknown;BlankPassTil,success,9.0
bpt409,studentlife,unknown;BlankPassTil,success,8.0
bpt409,voteforyou,unknown;BlankPassTil,success,7.0
bpt411,wvacation,unknown;BlankPassTil,success,24.0
bpt411,studentlife,unknown;BlankPassTil,success,15.0
bpt411,voteforyou,unknown;BlankPassTil,success,13.0
bpt416,wvacation,unknown;BlankPassTil,success,33.0
bpt416,studentlife,unknown;BlankPassTil,success,31.0
bpt416,wvacation,unknown;BlankPassTil,success,37.0
bpt416,voteforyou,unknown;BlankPassTil,success,35.0
bpt418,wvacation,unknown;BlankPassTil,failure,7.0
bpt418,wvacation,unknown;BlankPassTil,success,13.0
bpt418,studentlife,unknown;BlankPassTil,success,10.0
bpt418,voteforyou,unknown;BlankPassTil,success,11.0
bpt419,voteforyou,unknown;BlankPassTil,success,31.0
bpt419,studentlife,unknown;BlankPassTil,success,23.0
bpt419,wvacation,unknown;BlankPassTil,success,34.0
bpt422,studentlife,unknown;BlankPassTil,failure,37.0
bpt422,studentlife,unknown;BlankPassTil,success,28.0
bpt422,wvacation,unknown;BlankPassTil,success,25.0
bpt422,voteforyou,unknown;BlankPassTil,success,30.0
bpt423,studentlife,unknown;BlankPassTil,failure,30.0
bpt423,studentlife,unknown;BlankPassTil,success,31.0
bpt423,wvacation,unknown;BlankPassTil,failure,23.0
bpt423,wvacation,unknown;BlankPassTil,success,28.0
bpt423,voteforyou,unknown;BlankPassTil,success,24.0
bpt424,wvacation,unknown;BlankPassTil,success,21.0
bpt424,studentlife,unknown;BlankPassTil,success,21.0
bpt424,voteforyou,unknown;BlankPassTil,success,24.0
bpt425,studentlife,unknown;BlankPassTil,success,19.0
bpt425,wvacation,unknown;BlankPassTil,success,13.0
bpt425,voteforyou,unknown;BlankPassTil,success,29.0
bpt409,studentlife,unknown;BlankPassTil,failure,21.0
bpt409,wvacation,unknown;BlankPassTil,failure,9.0
bpt409,studentlife,unknown;BlankPassTil,success,9.0
bpt409,wvacation,unknown;BlankPassTil,success,9.0
bpt409,voteforyou,unknown;BlankPassTil,success,9.0
bpt411,studentlife,unknown;BlankPassTil,failure,29.0
bpt411,studentlife,unknown;BlankPassTil,success,11.0
bpt411,wvacation,unknown;BlankPassTil,success,28.0
bpt411,voteforyou,unknown;BlankPassTil,failure,14.0
bpt411,voteforyou,unknown;BlankPassTil,success,14.0
bpt418,studentlife,unknown;BlankPassTil,failure,24.0
bpt418,studentlife,unknown;BlankPassTil,success,16.0
bpt418,wvacation,unknown;BlankPassTil,success,14.0
bpt418,voteforyou,unknown;BlankPassTil,success,15.0
bpt425,studentlife,unknown;BlankPassTil,success,20.0
bpt425,wvacation,unknown;BlankPassTil,success,16.0
bpt425,voteforyou,unknown;BlankPassTil,success,25.0
bpt422,studentlife,unknown;BlankPassTil,success,61.0
bpt422,wvacation,unknown;BlankPassTil,failure,70.0
bpt422,wvacation,unknown;BlankPassTil,success,59.0
bpt422,voteforyou,unknown;BlankPassTil,failure,69.0
bpt422,voteforyou,unknown;BlankPassTil,success,39.0
bpt419,studentlife,unknown;BlankPassTil,success,31.0
bpt419,wvacation,unknown;BlankPassTil,success,30.0
bpt419,voteforyou,unknown;BlankPassTil,success,44.0
bpt416,studentlife,unknown;BlankPassTil,failure,54.0
bpt416,studentlife,unknown;BlankPassTil,success,46.0
bpt416,wvacation,unknown;BlankPassTil,success,48.0
bpt416,voteforyou,unknown;BlankPassTil,success,45.0
bpt409,studentlife,unknown;BlankPassTil,success,8.0
bpt409,voteforyou,unknown;BlankPassTil,success,8.0
bpt409,wvacation,unknown;BlankPassTil,success,7.0
bpt411,studentlife,unknown;BlankPassTil,failure,32.0
bpt411,studentlife,unknown;BlankPassTil,success,11.0
bpt411,voteforyou,unknown;BlankPassTil,failure,55.0
bpt411,voteforyou,unknown;BlankPassTil,success,17.0
bpt411,wvacation,unknown;BlankPassTil,success,15.0
bpt418,studentlife,unknown;BlankPassTil,success,22.0
bpt418,voteforyou,unknown;BlankPassTil,success,19.0
bpt418,wvacation,unknown;BlankPassTil,success,22.0
bpt423,studentlife,unknown;BlankPassTil,success,42.0
bpt423,voteforyou,unknown;BlankPassTil,failure,43.0
bpt423,voteforyou,unknown;BlankPassTil,failure,24.0
bpt423,voteforyou,unknown;BlankPassTil,success,20.0
bpt423,wvacation,unknown;BlankPassTil,success,26.0
bpt424,studentlife,unknown;BlankPassTil,success,32.0
