user,scheme,totalLogins,successes,failures,meanSucTime,meanFailTime
user6,ThreeChunk,6,6,0,14.333333333333334,0
user7,ThreeChunk,6,6,0,10.833333333333334,0
user4,ThreeChunk,4,2,2,17.0,17.0
user5,ThreeChunk,3,1,2,20.0,13.0
user2,ThreeChunk,6,4,2,10.5,11.5
user3,ThreeChunk,3,0,3,0,9.0
user1,ThreeChunk,6,0,6,0,10.833333333333334
user8,ThreeChunk,6,6,0,22.0,0
user9,ThreeChunk,3,0,3,0,9.0
user10,ThreeChunk,6,1,5,16.0,15.8
user11,ThreeChunk,3,0,3,0,12.333333333333334
user12,ThreeChunk,6,6,0,10.833333333333334,0
user13,ThreeChunk,6,4,2,27.25,33.0
user14,ThreeChunk,6,5,1,9.6,11.0
user15,ThreeChunk,6,6,0,17.166666666666668,0
user17,ThreeChunk,6,6,0,13.166666666666666,0
user18,ThreeChunk,6,4,2,21.75,12.0
user19,ThreeChunk,6,3,3,17.333333333333332,17.333333333333332
ast422,unknown;az-6,15,15,0,4.4,0
ast423,unknown;az-6,16,15,1,3.6666666666666665,3.0
ast424,unknown;az-6,12,12,0,14.833333333333334,0
ast403,unknown;az-6,18,15,3,18.933333333333334,6.0
ast426,unknown;az-6,27,15,12,5.466666666666667,5.833333333333333
ast418,unknown;az-6,17,15,2,6.0,3.5
ast417,unknown;az-6,16,15,1,12.8,264.0
ast416,unknown;az-6,15,15,0,34.13333333333333,0
ast413,unknown;az-6,15,15,0,5.2,0
